Nombre,Ciudad,Edad,Contacto
Carlos,Toledo,26,miguel@example.com
José,Madrid,19,miguel@example.com
José,Bilbao,19,lucia@example.com
Luis,Granada,56,miguel@example.com
Pedro,Toledo,56,ana@example.com
María,Salamanca,40,lucia@example.com
Pedro,Zaragoza,45,sofia@example.com
María,Bilbao,30,jose@example.com
Lucía,Málaga,31,ana@example.com
José,Toledo,45,ana@example.com
Sofía,Madrid,37,pedro@example.com
José,Barcelona,39,lucia@example.com
Pedro,Madrid,62,miguel@example.com
Ana,Madrid,57,jose@example.com
Pedro,Málaga,27,laura@example.com
Miguel,Málaga,61,luis@example.com
Lucía,Toledo,60,luis@example.com
Pedro,Madrid,30,sofia@example.com
Luis,Sevilla,24,lucia@example.com
José,Madrid,31,maria@example.com
Laura,Málaga,37,luis@example.com
Lucía,Bilbao,27,miguel@example.com
Luis,Sevilla,42,pedro@example.com
Lucía,Toledo,29,pedro@example.com
Luis,Barcelona,54,luis@example.com
Sofía,Madrid,39,miguel@example.com
Ana,Granada,21,ana@example.com
Lucía,Granada,44,maria@example.com
Miguel,Bilbao,33,maria@example.com
Miguel,Zaragoza,42,carlos@example.com
José,Bilbao,29,sofia@example.com
Ana,Salamanca,37,maria@example.com
Carlos,Málaga,21,miguel@example.com
Sofía,Málaga,22,maria@example.com
Carlos,Bilbao,59,sofia@example.com
Luis,Barcelona,38,carlos@example.com
Ana,Granada,62,ana@example.com
Lucía,Valencia,27,jose@example.com
Sofía,Málaga,46,laura@example.com
Ana,Bilbao,61,sofia@example.com
José,Málaga,21,pedro@example.com
Miguel,Málaga,19,luis@example.com
José,Zaragoza,59,miguel@example.com
Luis,Granada,49,maria@example.com
Pedro,Valencia,47,ana@example.com
María,Barcelona,33,sofia@example.com
María,Madrid,57,ana@example.com
Luis,Salamanca,58,laura@example.com
Luis,Salamanca,63,carlos@example.com
Sofía,Málaga,20,miguel@example.com
Carlos,Toledo,21,maria@example.com
Miguel,Zaragoza,56,carlos@example.com
Luis,Málaga,29,lucia@example.com
Laura,Valencia,60,miguel@example.com
José,Valencia,46,jose@example.com
Sofía,Toledo,37,ana@example.com
María,Barcelona,44,sofia@example.com
Luis,Zaragoza,23,luis@example.com
Luis,Madrid,30,sofia@example.com
Sofía,Toledo,23,ana@example.com
Laura,Madrid,37,pedro@example.com
Pedro,Bilbao,19,luis@example.com
Lucía,Toledo,48,ana@example.com
Luis,Sevilla,42,maria@example.com
Laura,Bilbao,58,pedro@example.com
Lucía,Toledo,28,lucia@example.com
Sofía,Valencia,51,pedro@example.com
Carlos,Sevilla,37,miguel@example.com
Laura,Madrid,27,luis@example.com
Carlos,Bilbao,24,pedro@example.com
Ana,Toledo,43,laura@example.com
Ana,Toledo,45,jose@example.com
María,Salamanca,40,miguel@example.com
Carlos,Granada,44,jose@example.com
Laura,Bilbao,25,maria@example.com
Ana,Madrid,58,maria@example.com
Pedro,Málaga,36,jose@example.com
María,Granada,25,carlos@example.com
Miguel,Toledo,42,jose@example.com
Ana,Bilbao,63,luis@example.com
María,Bilbao,39,ana@example.com
Miguel,Salamanca,30,carlos@example.com
Luis,Salamanca,28,lucia@example.com
José,Málaga,63,ana@example.com
José,Salamanca,25,miguel@example.com
Laura,Madrid,47,lucia@example.com
María,Granada,34,ana@example.com
Miguel,Madrid,19,miguel@example.com
Luis,Bilbao,32,laura@example.com
Luis,Granada,31,sofia@example.com
Ana,Madrid,19,luis@example.com
Sofía,Toledo,41,pedro@example.com
Luis,Málaga,40,luis@example.com
Luis,Madrid,31,luis@example.com
Lucía,Zaragoza,31,miguel@example.com
Pedro,Sevilla,44,jose@example.com
Miguel,Zaragoza,33,luis@example.com
Ana,Sevilla,62,ana@example.com
Sofía,Bilbao,57,luis@example.com
Lucía,Toledo,28,sofia@example.com
